Date,Region,Region_ru,Confirmed,Recovered,Deaths,Day_Deaths,Day_Confirmed,Day_Recovered
2020-03-13,Novgorod region,Новгородская область,0,0,0,0,0,0
2020-03-13,Novosibirsk region,Новосибирская область,0,0,0,0,0,0
2020-03-13,Omsk region,Омская область,0,0,0,0,0,0
2020-03-13,Orenburg region,Оренбургская область,0,0,0,0,0,0
2020-03-13,Oryol Region,Орловская область,0,0,0,0,0,0
2020-03-13,Penza region,Пензенская область,0,0,0,0,0,0
2020-03-13,Perm,Пермский край,1,0,0,0,1,0
2020-03-13,Primorsky Krai,Приморский край,0,0,0,0,0,0
2020-03-13,Pskov region,Псковская область,0,0,0,0,0,0
2020-03-13,Rostov region,Ростовская область,0,0,0,0,0,0
2020-03-13,Ryazan Oblast,Рязанская область,0,0,0,0,0,0
2020-03-13,Samara Region,Самарская область,0,0,0,0,0,0
2020-03-13,St. Petersburg,Санкт-Петербург,4,0,0,0,3,0
2020-03-13,Saratov region,Саратовская область,0,0,0,0,0,0
2020-03-13,The Republic of Sakha (Yakutia),Республика Саха (Якутия),0,0,0,0,0,0
2020-03-13,Sakhalin region,Сахалинская область,0,0,0,0,0,0
2020-03-13,Sverdlovsk region,Свердловская область,0,0,0,0,0,0
2020-03-13,Sevastopol,Севастополь,0,0,0,0,0,0
2020-03-13,North Ossetia,Северная Осетия,0,0,0,0,0,0
2020-03-13,Smolensk region,Смоленская область,0,0,0,0,0,0
2020-03-13,Stavropol region,Ставропольский край,0,0,0,0,0,0
2020-03-13,Tambov Region,Тамбовская область,0,0,0,0,0,0
2020-03-13,Republic of Tatarstan,Республика Татарстан,0,0,0,0,0,0
2020-03-13,Tver region,Тверская область,0,0,0,0,0,0
2020-03-13,Tomsk region,Томская область,0,0,0,0,0,0
2020-03-13,Tula region,Тульская область,0,0,0,0,0,0
2020-03-13,Tyva Republic,Республика Тыва,0,0,0,0,0,0
2020-03-13,Tyumen region,Тюменская область,0,0,0,0,0,0
2020-03-13,Udmurtia,Удмуртская Республика,0,0,0,0,0,0
2020-03-13,Ulyanovsk region,Ульяновская область,0,0,0,0,0,0
2020-03-13,Khabarovsk region,Хабаровский край,0,0,0,0,0,0
2020-03-13,The Republic of Khakassia,Республика Хакасия,0,0,0,0,0,0
2020-03-13,Khanty-Mansiysk,Ханты-Мансийский АО,0,0,0,0,0,0
2020-03-13,Chelyabinsk region,Челябинская область,0,0,0,0,0,0
2020-03-13,Chechen Republic,Чеченская Республика,0,0,0,0,0,0
2020-03-13,Chuvash Republic,Республика Чувашия,0,0,0,0,0,0
2020-03-13,Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий АО,0,0,0,0,0,0
2020-03-13,Yaroslavskaya oblast,Ярославская область,0,0,0,0,0,0
2020-03-14,Republic of Adygea,Республика Адыгея,0,0,0,0,0,0
2020-03-14,Altai region,Алтайский край,0,0,0,0,0,0
2020-03-14,Amur region,Амурская область,0,0,0,0,0,0
2020-03-14,Arhangelsk region,Архангельская область,0,0,0,0,0,0
2020-03-14,Astrakhan region,Астраханская область,0,0,0,0,0,0
2020-03-14,Republic of Bashkortostan,Республика Башкортостан,0,0,0,0,0,0
